trace_label,tinker_avg_normalized_score,tinker_avg_normalized_percent,tinker_rows,qwen_avg_normalized_score,qwen_avg_normalized_percent,qwen_rows,llama_avg_normalized_score,llama_avg_normalized_percent,llama_rows,nemotron_avg_normalized_score,nemotron_avg_normalized_percent,nemotron_rows,avg_score_spread
gem31pro,0.0010,0.1%,149,0.4919,49.2%,150,0.6546,65.5%,150,0.5178,51.8%,150,0.6536
gem3flash,0.0000,0.0%,150,0.5067,50.7%,150,0.3760,37.6%,150,0.5315,53.1%,150,0.5315
gemma4-31b,0.0012,0.1%,150,0.4401,44.0%,150,0.3611,36.1%,150,0.4402,44.0%,150,0.4390
glm-51,0.0118,1.2%,150,0.6770,67.7%,150,0.6000,60.0%,150,0.6739,67.4%,150,0.6653
gpt54mini,0.0000,0.0%,150,0.2973,29.7%,150,0.2152,21.5%,150,0.3055,30.5%,150,0.3055
gpt55,0.0065,0.6%,150,0.7100,71.0%,150,0.5169,51.7%,150,0.6895,68.9%,150,0.7036
kimi-k26,0.0000,0.0%,150,0.5966,59.7%,150,0.5542,55.4%,142,0.5579,55.8%,150,0.5966
opus47,0.0131,1.3%,149,0.7005,70.0%,149,,,0,0.6589,65.9%,149,0.6874
qwen36-27b,0.0068,0.7%,150,0.6044,60.4%,150,,,0,0.5696,57.0%,150,0.5976
sonnet46,0.0197,2.0%,150,0.7174,71.7%,149,0.8023,80.2%,149,0.6286,62.9%,150,0.7826
